Gene	Prediction_score	Prediction_label(threshold=0.549)	Prediction_label(threshold=0.5)
ENSG00000082516	0.5004	Non-ISG	ISG
ENSG00000084628	0.5069	Non-ISG	ISG
ENSG00000086065	0.5030	Non-ISG	ISG
ENSG00000089041	0.5300	Non-ISG	ISG
ENSG00000089154	0.7860	ISG	ISG
ENSG00000090316	0.6513	ISG	ISG
ENSG00000090339	0.6610	ISG	ISG
ENSG00000090621	0.4682	Non-ISG	Non-ISG
ENSG00000091656	0.7850	ISG	ISG
ENSG00000092010	0.4561	Non-ISG	Non-ISG
ENSG00000092094	0.3845	Non-ISG	Non-ISG
ENSG00000095319	0.5012	Non-ISG	ISG
ENSG00000099326	0.2112	Non-ISG	Non-ISG
ENSG00000099899	0.3212	Non-ISG	Non-ISG
ENSG00000099968	0.6403	ISG	ISG
ENSG00000099995	0.4259	Non-ISG	Non-ISG
ENSG00000100307	0.3380	Non-ISG	Non-ISG
ENSG00000100567	0.8239	ISG	ISG
ENSG00000100902	0.4015	Non-ISG	Non-ISG
ENSG00000100918	0.3499	Non-ISG	Non-ISG
ENSG00000101236	0.7406	ISG	ISG
ENSG00000102996	0.1507	Non-ISG	Non-ISG
ENSG00000103051	0.7345	ISG	ISG
ENSG00000103174	0.2633	Non-ISG	Non-ISG
ENSG00000103202	0.2343	Non-ISG	Non-ISG
ENSG00000103335	0.4128	Non-ISG	Non-ISG
ENSG00000103642	0.7962	ISG	ISG
ENSG00000103657	0.7842	ISG	ISG
ENSG00000103742	0.2621	Non-ISG	Non-ISG
ENSG00000104412	0.4785	Non-ISG	Non-ISG
ENSG00000104518	0.3626	Non-ISG	Non-ISG
ENSG00000104635	0.6208	ISG	ISG
ENSG00000104812	0.2631	Non-ISG	Non-ISG
ENSG00000104853	0.2104	Non-ISG	Non-ISG
ENSG00000104915	0.5886	ISG	ISG
ENSG00000105058	0.1361	Non-ISG	Non-ISG
ENSG00000105245	0.1444	Non-ISG	Non-ISG
ENSG00000105281	0.3569	Non-ISG	Non-ISG
ENSG00000105373	0.2099	Non-ISG	Non-ISG
ENSG00000105397	0.3264	Non-ISG	Non-ISG
ENSG00000105552	0.4848	Non-ISG	Non-ISG
ENSG00000105655	0.3716	Non-ISG	Non-ISG
ENSG00000105677	0.2187	Non-ISG	Non-ISG
ENSG00000105696	0.4699	Non-ISG	Non-ISG
ENSG00000106009	0.2614	Non-ISG	Non-ISG
ENSG00000107201	0.7996	ISG	ISG
ENSG00000107282	0.6407	ISG	ISG
ENSG00000107404	0.3097	Non-ISG	Non-ISG
ENSG00000107798	0.2791	Non-ISG	Non-ISG
ENSG00000107874	0.5211	Non-ISG	ISG
ENSG00000108379	0.5275	Non-ISG	ISG
ENSG00000108561	0.3984	Non-ISG	Non-ISG
ENSG00000108823	0.3363	Non-ISG	Non-ISG
ENSG00000109089	0.5260	Non-ISG	ISG
ENSG00000109171	0.3997	Non-ISG	Non-ISG
ENSG00000110057	0.1952	Non-ISG	Non-ISG
ENSG00000110203	0.4104	Non-ISG	Non-ISG
ENSG00000110328	0.7845	ISG	ISG
ENSG00000110446	0.3187	Non-ISG	Non-ISG
ENSG00000110583	0.3287	Non-ISG	Non-ISG
ENSG00000111144	0.5422	Non-ISG	ISG
ENSG00000111269	0.3596	Non-ISG	Non-ISG
ENSG00000111452	0.3825	Non-ISG	Non-ISG
ENSG00000111540	0.5279	Non-ISG	ISG
ENSG00000111581	0.6662	ISG	ISG
ENSG00000111912	0.7924	ISG	ISG
ENSG00000112183	0.4355	Non-ISG	Non-ISG
ENSG00000112308	0.4153	Non-ISG	Non-ISG
ENSG00000112984	0.8135	ISG	ISG
ENSG00000113240	0.6472	ISG	ISG
ENSG00000113328	0.3615	Non-ISG	Non-ISG
ENSG00000113643	0.3904	Non-ISG	Non-ISG
ENSG00000113761	0.6465	ISG	ISG
ENSG00000114739	0.5084	Non-ISG	ISG
ENSG00000114923	0.2344	Non-ISG	Non-ISG
ENSG00000115073	0.4290	Non-ISG	Non-ISG
ENSG00000115226	0.4695	Non-ISG	Non-ISG
ENSG00000115271	0.5917	ISG	ISG
ENSG00000115295	0.3898	Non-ISG	Non-ISG
ENSG00000115484	0.5099	Non-ISG	ISG
ENSG00000115944	0.4066	Non-ISG	Non-ISG
ENSG00000117280	0.5628	ISG	ISG
ENSG00000117543	0.3038	Non-ISG	Non-ISG
ENSG00000117650	0.8757	ISG	ISG
ENSG00000117713	0.7029	ISG	ISG
ENSG00000118655	0.3333	Non-ISG	Non-ISG
ENSG00000119714	0.3446	Non-ISG	Non-ISG
ENSG00000119729	0.8026	ISG	ISG
ENSG00000120068	0.4473	Non-ISG	Non-ISG
ENSG00000120690	0.5712	ISG	ISG
ENSG00000120833	0.6449	ISG	ISG
ENSG00000121210	0.6770	ISG	ISG
ENSG00000121236	0.7380	ISG	ISG
ENSG00000121390	0.2926	Non-ISG	Non-ISG
ENSG00000121440	0.4831	Non-ISG	Non-ISG
ENSG00000121775	0.4242	Non-ISG	Non-ISG
ENSG00000121898	0.3777	Non-ISG	Non-ISG
ENSG00000122481	0.8184	ISG	ISG
ENSG00000122678	0.3204	Non-ISG	Non-ISG
ENSG00000122966	0.6668	ISG	ISG
ENSG00000123159	0.7354	ISG	ISG
ENSG00000123240	0.8410	ISG	ISG
ENSG00000123388	0.3948	Non-ISG	Non-ISG
ENSG00000123485	0.7141	ISG	ISG
ENSG00000123908	0.4763	Non-ISG	Non-ISG
ENSG00000124160	0.5405	Non-ISG	ISG
ENSG00000124226	0.5467	Non-ISG	ISG
ENSG00000124702	0.5142	Non-ISG	ISG
ENSG00000125148	0.2380	Non-ISG	Non-ISG
ENSG00000125166	0.2496	Non-ISG	Non-ISG
ENSG00000125384	0.5497	ISG	ISG
ENSG00000125388	0.3813	Non-ISG	Non-ISG
ENSG00000125450	0.7514	ISG	ISG
ENSG00000125733	0.2156	Non-ISG	Non-ISG
ENSG00000125817	0.3711	Non-ISG	Non-ISG
ENSG00000125901	0.3394	Non-ISG	Non-ISG
ENSG00000125912	0.1971	Non-ISG	Non-ISG
ENSG00000125952	0.3923	Non-ISG	Non-ISG
ENSG00000126001	0.6207	ISG	ISG
ENSG00000126005	0.2572	Non-ISG	Non-ISG
ENSG00000126261	0.6438	ISG	ISG
ENSG00000126883	0.2939	Non-ISG	Non-ISG
ENSG00000127586	0.1550	Non-ISG	Non-ISG
ENSG00000128394	0.6223	ISG	ISG
ENSG00000128654	0.4871	Non-ISG	Non-ISG
ENSG00000129038	0.2028	Non-ISG	Non-ISG
ENSG00000130176	0.3405	Non-ISG	Non-ISG
ENSG00000130748	0.3748	Non-ISG	Non-ISG
ENSG00000130813	0.6546	ISG	ISG
ENSG00000131015	0.4867	Non-ISG	Non-ISG
ENSG00000131269	0.2628	Non-ISG	Non-ISG
ENSG00000131746	0.3249	Non-ISG	Non-ISG
ENSG00000131747	0.7495	ISG	ISG
ENSG00000131788	0.5138	Non-ISG	ISG
ENSG00000131828	0.5445	Non-ISG	ISG
ENSG00000132256	0.7436	ISG	ISG
ENSG00000132376	0.3629	Non-ISG	Non-ISG
ENSG00000132383	0.7573	ISG	ISG
ENSG00000132405	0.7400	ISG	ISG
ENSG00000132530	0.5871	ISG	ISG
ENSG00000132819	0.3486	Non-ISG	Non-ISG
ENSG00000133983	0.6549	ISG	ISG
ENSG00000134152	0.7315	ISG	ISG
ENSG00000134186	0.7592	ISG	ISG
ENSG00000134201	0.5468	Non-ISG	ISG
ENSG00000134321	0.5742	ISG	ISG
ENSG00000134363	0.6943	ISG	ISG
ENSG00000134470	0.5539	ISG	ISG
ENSG00000135454	0.1649	Non-ISG	Non-ISG
ENSG00000135723	0.4084	Non-ISG	Non-ISG
ENSG00000135862	0.8029	ISG	ISG
ENSG00000135900	0.5834	ISG	ISG
ENSG00000136048	0.3743	Non-ISG	Non-ISG
ENSG00000136231	0.7206	ISG	ISG
ENSG00000136514	0.4283	Non-ISG	Non-ISG
ENSG00000136518	0.6085	ISG	ISG
ENSG00000136542	0.7223	ISG	ISG
ENSG00000136631	0.5987	ISG	ISG
ENSG00000136720	0.2668	Non-ISG	Non-ISG
ENSG00000136940	0.6171	ISG	ISG
ENSG00000137054	0.7029	ISG	ISG
ENSG00000137216	0.6295	ISG	ISG
ENSG00000137513	0.2665	Non-ISG	Non-ISG
ENSG00000137571	0.7754	ISG	ISG
ENSG00000137764	0.3245	Non-ISG	Non-ISG
ENSG00000137767	0.5764	ISG	ISG
ENSG00000137941	0.7876	ISG	ISG
ENSG00000137959	0.6368	ISG	ISG
ENSG00000137965	0.2942	Non-ISG	Non-ISG
ENSG00000138035	0.8106	ISG	ISG
ENSG00000138346	0.8057	ISG	ISG
ENSG00000138433	0.8764	ISG	ISG
ENSG00000138600	0.5807	ISG	ISG
ENSG00000138615	0.6156	ISG	ISG
ENSG00000139173	0.3994	Non-ISG	Non-ISG
ENSG00000139428	0.5207	Non-ISG	ISG
ENSG00000140105	0.2344	Non-ISG	Non-ISG
ENSG00000140534	0.7371	ISG	ISG
ENSG00000140577	0.5454	Non-ISG	ISG
ENSG00000141294	0.4597	Non-ISG	Non-ISG
ENSG00000141441	0.3954	Non-ISG	Non-ISG
ENSG00000141542	0.5315	Non-ISG	ISG
ENSG00000141562	0.6446	ISG	ISG
ENSG00000141664	0.7152	ISG	ISG
ENSG00000142166	0.7497	ISG	ISG
ENSG00000142230	0.4661	Non-ISG	Non-ISG
ENSG00000142494	0.5405	Non-ISG	ISG
ENSG00000142552	0.1866	Non-ISG	Non-ISG
ENSG00000142634	0.3514	Non-ISG	Non-ISG
ENSG00000142657	0.4013	Non-ISG	Non-ISG
ENSG00000143207	0.6686	ISG	ISG
ENSG00000143314	0.1904	Non-ISG	Non-ISG
ENSG00000143363	0.4030	Non-ISG	Non-ISG
ENSG00000143799	0.8186	ISG	ISG
ENSG00000143971	0.6075	ISG	ISG
ENSG00000144451	0.8480	ISG	ISG
ENSG00000144827	0.5473	Non-ISG	ISG
ENSG00000145040	0.2871	Non-ISG	Non-ISG
ENSG00000146282	0.4081	Non-ISG	Non-ISG
ENSG00000147324	0.3508	Non-ISG	Non-ISG
ENSG00000147509	0.6745	ISG	ISG
ENSG00000147655	0.6732	ISG	ISG
ENSG00000147684	0.5180	Non-ISG	ISG
ENSG00000147697	0.7871	ISG	ISG
ENSG00000148158	0.4834	Non-ISG	Non-ISG
ENSG00000148444	0.4486	Non-ISG	Non-ISG
ENSG00000148926	0.4485	Non-ISG	Non-ISG
ENSG00000149089	0.5694	ISG	ISG
ENSG00000149136	0.4409	Non-ISG	Non-ISG
ENSG00000149273	0.3213	Non-ISG	Non-ISG
ENSG00000149557	0.5339	Non-ISG	ISG
ENSG00000149577	0.4270	Non-ISG	Non-ISG
ENSG00000149639	0.7270	ISG	ISG
ENSG00000151151	0.4843	Non-ISG	Non-ISG
ENSG00000151364	0.6207	ISG	ISG
ENSG00000151500	0.7051	ISG	ISG
ENSG00000151779	0.7706	ISG	ISG
ENSG00000151806	0.6117	ISG	ISG
ENSG00000152147	0.3226	Non-ISG	Non-ISG
ENSG00000152219	0.7280	ISG	ISG
ENSG00000152778	0.8023	ISG	ISG
ENSG00000153291	0.4362	Non-ISG	Non-ISG
ENSG00000154027	0.3794	Non-ISG	Non-ISG
ENSG00000154319	0.2472	Non-ISG	Non-ISG
ENSG00000154721	0.4914	Non-ISG	Non-ISG
ENSG00000154760	0.7007	ISG	ISG
ENSG00000156261	0.6646	ISG	ISG
ENSG00000157005	0.5460	Non-ISG	ISG
ENSG00000157212	0.3836	Non-ISG	Non-ISG
ENSG00000157456	0.8855	ISG	ISG
ENSG00000157927	0.1834	Non-ISG	Non-ISG
ENSG00000158555	0.5286	Non-ISG	ISG
ENSG00000158828	0.4472	Non-ISG	Non-ISG
ENSG00000159210	0.4961	Non-ISG	Non-ISG
ENSG00000159433	0.7606	ISG	ISG
ENSG00000159685	0.2461	Non-ISG	Non-ISG
ENSG00000160013	0.3914	Non-ISG	Non-ISG
ENSG00000160216	0.4089	Non-ISG	Non-ISG
ENSG00000160741	0.2388	Non-ISG	Non-ISG
ENSG00000160813	0.1805	Non-ISG	Non-ISG
ENSG00000160948	0.5121	Non-ISG	ISG
ENSG00000161036	0.3163	Non-ISG	Non-ISG
ENSG00000161091	0.2235	Non-ISG	Non-ISG
ENSG00000161249	0.2631	Non-ISG	Non-ISG
ENSG00000161267	0.5533	ISG	ISG
ENSG00000161714	0.3846	Non-ISG	Non-ISG
ENSG00000161970	0.4013	Non-ISG	Non-ISG
ENSG00000161996	0.1708	Non-ISG	Non-ISG
ENSG00000162849	0.7283	ISG	ISG
ENSG00000162851	0.5152	Non-ISG	ISG
ENSG00000162994	0.3635	Non-ISG	Non-ISG
ENSG00000163214	0.6658	ISG	ISG
ENSG00000163344	0.4728	Non-ISG	Non-ISG
ENSG00000163399	0.4099	Non-ISG	Non-ISG
ENSG00000163412	0.4082	Non-ISG	Non-ISG
ENSG00000163431	0.7424	ISG	ISG
ENSG00000163638	0.7379	ISG	ISG
ENSG00000163840	0.6607	ISG	ISG
ENSG00000163931	0.4349	Non-ISG	Non-ISG
ENSG00000164107	0.2354	Non-ISG	Non-ISG
ENSG00000164114	0.6238	ISG	ISG
ENSG00000164118	0.8111	ISG	ISG
ENSG00000164171	0.5903	ISG	ISG
ENSG00000164176	0.4522	Non-ISG	Non-ISG
ENSG00000164323	0.5196	Non-ISG	ISG
ENSG00000164327	0.8072	ISG	ISG
ENSG00000164405	0.2988	Non-ISG	Non-ISG
ENSG00000164430	0.5266	Non-ISG	ISG
ENSG00000164463	0.8335	ISG	ISG
ENSG00000164530	0.3619	Non-ISG	Non-ISG
ENSG00000164535	0.2867	Non-ISG	Non-ISG
ENSG00000164627	0.7795	ISG	ISG
ENSG00000164649	0.5580	ISG	ISG
ENSG00000164935	0.6019	ISG	ISG
ENSG00000165283	0.5254	Non-ISG	ISG
ENSG00000165458	0.2673	Non-ISG	Non-ISG
ENSG00000165757	0.3169	Non-ISG	Non-ISG
ENSG00000165912	0.2450	Non-ISG	Non-ISG
ENSG00000166035	0.4507	Non-ISG	Non-ISG
ENSG00000166165	0.5160	Non-ISG	ISG
ENSG00000166171	0.4412	Non-ISG	Non-ISG
ENSG00000166265	0.5525	ISG	ISG
ENSG00000166272	0.3762	Non-ISG	Non-ISG
ENSG00000166278	0.6038	ISG	ISG
ENSG00000166295	0.0970	Non-ISG	Non-ISG
ENSG00000166471	0.2469	Non-ISG	Non-ISG
ENSG00000166529	0.7768	ISG	ISG
ENSG00000166532	0.5950	ISG	ISG
ENSG00000166851	0.6585	ISG	ISG
ENSG00000167103	0.1912	Non-ISG	Non-ISG
ENSG00000167554	0.4249	Non-ISG	Non-ISG
ENSG00000167637	0.2409	Non-ISG	Non-ISG
ENSG00000167671	0.4006	Non-ISG	Non-ISG
ENSG00000167972	0.5708	ISG	ISG
ENSG00000168096	0.4077	Non-ISG	Non-ISG
ENSG00000168286	0.3841	Non-ISG	Non-ISG
ENSG00000168785	0.4859	Non-ISG	Non-ISG
ENSG00000168883	0.4142	Non-ISG	Non-ISG
ENSG00000169100	0.3785	Non-ISG	Non-ISG
ENSG00000169189	0.6833	ISG	ISG
ENSG00000169255	0.4725	Non-ISG	Non-ISG
ENSG00000169592	0.7226	ISG	ISG
ENSG00000169689	0.2125	Non-ISG	Non-ISG
ENSG00000169718	0.5184	Non-ISG	ISG
ENSG00000169744	0.5887	ISG	ISG
ENSG00000169750	0.4073	Non-ISG	Non-ISG
ENSG00000169871	0.2903	Non-ISG	Non-ISG
ENSG00000169957	0.6095	ISG	ISG
ENSG00000170340	0.7302	ISG	ISG
ENSG00000170445	0.7400	ISG	ISG
ENSG00000170525	0.7312	ISG	ISG
ENSG00000170561	0.2664	Non-ISG	Non-ISG
ENSG00000170802	0.6095	ISG	ISG
ENSG00000171103	0.5141	Non-ISG	ISG
ENSG00000171135	0.4543	Non-ISG	Non-ISG
ENSG00000171509	0.8433	ISG	ISG
ENSG00000171793	0.2320	Non-ISG	Non-ISG
ENSG00000171806	0.7525	ISG	ISG
ENSG00000171860	0.4520	Non-ISG	Non-ISG
ENSG00000172006	0.2563	Non-ISG	Non-ISG
ENSG00000172183	0.4723	Non-ISG	Non-ISG
ENSG00000172296	0.6327	ISG	ISG
ENSG00000172366	0.3486	Non-ISG	Non-ISG
ENSG00000172428	0.1306	Non-ISG	Non-ISG
ENSG00000172531	0.4275	Non-ISG	Non-ISG
ENSG00000173011	0.6448	ISG	ISG
ENSG00000173083	0.4555	Non-ISG	Non-ISG
ENSG00000173153	0.1823	Non-ISG	Non-ISG
ENSG00000173156	0.5244	Non-ISG	ISG
ENSG00000173193	0.7840	ISG	ISG
ENSG00000173200	0.3075	Non-ISG	Non-ISG
ENSG00000173706	0.5899	ISG	ISG
ENSG00000174282	0.2445	Non-ISG	Non-ISG
ENSG00000174599	0.3071	Non-ISG	Non-ISG
ENSG00000175182	0.1680	Non-ISG	Non-ISG
ENSG00000175183	0.5265	Non-ISG	ISG
ENSG00000175602	0.2857	Non-ISG	Non-ISG
ENSG00000175938	0.2382	Non-ISG	Non-ISG
ENSG00000176022	0.3320	Non-ISG	Non-ISG
ENSG00000176055	0.3268	Non-ISG	Non-ISG
ENSG00000176371	0.5372	Non-ISG	ISG
ENSG00000176894	0.6046	ISG	ISG
ENSG00000177225	0.2344	Non-ISG	Non-ISG
ENSG00000177409	0.7888	ISG	ISG
ENSG00000177932	0.3723	Non-ISG	Non-ISG
ENSG00000177981	0.4928	Non-ISG	Non-ISG
ENSG00000177990	0.6187	ISG	ISG
ENSG00000178026	0.2465	Non-ISG	Non-ISG
ENSG00000178033	0.5733	ISG	ISG
ENSG00000178338	0.3284	Non-ISG	Non-ISG
ENSG00000178852	0.8027	ISG	ISG
ENSG00000178904	0.5625	ISG	ISG
ENSG00000178952	0.4824	Non-ISG	Non-ISG
ENSG00000178996	0.1835	Non-ISG	Non-ISG
ENSG00000179431	0.2106	Non-ISG	Non-ISG
ENSG00000179886	0.3950	Non-ISG	Non-ISG
ENSG00000180353	0.3691	Non-ISG	Non-ISG
ENSG00000180354	0.4072	Non-ISG	Non-ISG
ENSG00000181195	0.7461	ISG	ISG
ENSG00000181924	0.0997	Non-ISG	Non-ISG
ENSG00000182173	0.2994	Non-ISG	Non-ISG
ENSG00000182552	0.4286	Non-ISG	Non-ISG
ENSG00000183160	0.2378	Non-ISG	Non-ISG
ENSG00000183172	0.4699	Non-ISG	Non-ISG
ENSG00000183496	0.3384	Non-ISG	Non-ISG
ENSG00000183579	0.4060	Non-ISG	Non-ISG
ENSG00000183617	0.2538	Non-ISG	Non-ISG
ENSG00000183763	0.6134	ISG	ISG
ENSG00000183770	0.2637	Non-ISG	Non-ISG
ENSG00000183828	0.1800	Non-ISG	Non-ISG
ENSG00000184160	0.2132	Non-ISG	Non-ISG
ENSG00000184371	0.3343	Non-ISG	Non-ISG
ENSG00000184634	0.6827	ISG	ISG
ENSG00000184898	0.4227	Non-ISG	Non-ISG
ENSG00000185252	0.4038	Non-ISG	Non-ISG
ENSG00000185269	0.3957	Non-ISG	Non-ISG
ENSG00000185507	0.3075	Non-ISG	Non-ISG
ENSG00000185880	0.6449	ISG	ISG
ENSG00000185909	0.2380	Non-ISG	Non-ISG
ENSG00000186020	0.2745	Non-ISG	Non-ISG
ENSG00000186364	0.4339	Non-ISG	Non-ISG
ENSG00000186522	0.8360	ISG	ISG
ENSG00000186566	0.4037	Non-ISG	Non-ISG
ENSG00000187068	0.5019	Non-ISG	ISG
ENSG00000187266	0.4064	Non-ISG	Non-ISG
ENSG00000187607	0.5171	Non-ISG	ISG
ENSG00000187608	0.4831	Non-ISG	Non-ISG
ENSG00000187650	0.2308	Non-ISG	Non-ISG
ENSG00000187676	0.5798	ISG	ISG
ENSG00000187994	0.1923	Non-ISG	Non-ISG
ENSG00000188227	0.4514	Non-ISG	Non-ISG
ENSG00000188690	0.4758	Non-ISG	Non-ISG
ENSG00000188820	0.6933	ISG	ISG
ENSG00000188868	0.4500	Non-ISG	Non-ISG
ENSG00000188976	0.7335	ISG	ISG
ENSG00000189077	0.5784	ISG	ISG
ENSG00000196074	0.7528	ISG	ISG
ENSG00000196083	0.3527	Non-ISG	Non-ISG
ENSG00000196118	0.1682	Non-ISG	Non-ISG
ENSG00000196230	0.3891	Non-ISG	Non-ISG
ENSG00000196365	0.6433	ISG	ISG
ENSG00000196372	0.3268	Non-ISG	Non-ISG
ENSG00000196544	0.5974	ISG	ISG
ENSG00000196616	0.5705	ISG	ISG
ENSG00000196867	0.4258	Non-ISG	Non-ISG
ENSG00000196924	0.5280	Non-ISG	ISG
ENSG00000196954	0.7730	ISG	ISG
ENSG00000197181	0.7407	ISG	ISG
ENSG00000197619	0.4710	Non-ISG	Non-ISG
ENSG00000197724	0.4897	Non-ISG	Non-ISG
ENSG00000198087	0.5995	ISG	ISG
ENSG00000198169	0.4697	Non-ISG	Non-ISG
ENSG00000198478	0.2170	Non-ISG	Non-ISG
ENSG00000198535	0.2776	Non-ISG	Non-ISG
ENSG00000198792	0.5596	ISG	ISG
ENSG00000198793	0.8147	ISG	ISG
ENSG00000198865	0.8077	ISG	ISG
ENSG00000203880	0.4231	Non-ISG	Non-ISG
ENSG00000204271	0.3643	Non-ISG	Non-ISG
ENSG00000204272	0.1327	Non-ISG	Non-ISG
ENSG00000204366	0.2693	Non-ISG	Non-ISG
ENSG00000204642	0.2787	Non-ISG	Non-ISG
ENSG00000204822	0.2867	Non-ISG	Non-ISG
ENSG00000204851	0.3195	Non-ISG	Non-ISG
ENSG00000204922	0.1117	Non-ISG	Non-ISG
ENSG00000204954	0.7862	ISG	ISG
ENSG00000206530	0.6822	ISG	ISG
ENSG00000206535	0.5461	Non-ISG	ISG
ENSG00000212747	0.2505	Non-ISG	Non-ISG
ENSG00000213390	0.7308	ISG	ISG
ENSG00000214026	0.2968	Non-ISG	Non-ISG
ENSG00000214193	0.2411	Non-ISG	Non-ISG
ENSG00000217236	0.3096	Non-ISG	Non-ISG
ENSG00000218739	0.4350	Non-ISG	Non-ISG
ENSG00000221838	0.1424	Non-ISG	Non-ISG
ENSG00000221869	0.2693	Non-ISG	Non-ISG
ENSG00000224877	0.2240	Non-ISG	Non-ISG
ENSG00000235106	0.4382	Non-ISG	Non-ISG
ENSG00000235194	0.2304	Non-ISG	Non-ISG
ENSG00000237440	0.3675	Non-ISG	Non-ISG
ENSG00000240303	0.5107	Non-ISG	ISG
ENSG00000241399	0.6047	ISG	ISG
ENSG00000242372	0.5116	Non-ISG	ISG
ENSG00000243317	0.2025	Non-ISG	Non-ISG
ENSG00000243667	0.5985	ISG	ISG
ENSG00000244242	0.5525	ISG	ISG
ENSG00000245680	0.2638	Non-ISG	Non-ISG
ENSG00000253304	0.2514	Non-ISG	Non-ISG
ENSG00000254087	0.3978	Non-ISG	Non-ISG
ENSG00000256537	0.4487	Non-ISG	Non-ISG
ENSG00000270170	0.1959	Non-ISG	Non-ISG
