Description from OCISG 	Log2(Fold Change) from OCISG 	Type I IFN in human fibroblast cells(Main Label)	Type I IFN systems	Type II IFN systems	Type III IFN systems	HGNC ID	RefSeqAcc	RefSeq	Canonical transcript	Approved symbol	NCBI gene ID	Ensembl gene ID
Not_differentially_expressed	0.08	Refined nonISG	Other	Other	Other	HGNC:19942	NM_014408	NP_055223	ENST00000373166	TRAPPC3	27095	ENSG00000054116
Up_regulated	1.32	Refined ISG	ISG	ISG	NonISG	HGNC:17733	NM_020715	NP_065766	ENST00000329153	PLEKHH1	57475	ENSG00000054690
Not_differentially_expressed	0.03	Refined nonISG	NonISG	Other	Other	HGNC:13540	NM_006045	NP_006036	ENST00000338821	ATP9A	10079	ENSG00000054793
Not_differentially_expressed	-0.11	Refined nonISG	NonISG	ISG	Other	HGNC:13760	NM_001037333	NP_001032410	ENST00000620254	CYFIP2	26999	ENSG00000055163
Up_regulated	2.99	Refined ISG	ISG	ISG	ISG	HGNC:9437	NM_001135651	NP_001129123	ENST00000233057	EIF2AK2	5610	ENSG00000055332
Up_regulated	1.51	Refined ISG	ISG	ISG	Other	HGNC:2853	NM_001346	NP_001337	ENST00000265022	DGKG	1608	ENSG00000058866
Up_regulated	0.41	Refined ISG	ISG	Other	Other	HGNC:8750	NM_002595	NP_002586	ENST00000261211	CDK17	5128	ENSG00000059758
Down_regulated (IRG)	-0.46	Refined nonISG	Other	Other	Other	HGNC:30857	NM_004814	NP_004805	ENST00000263694	SNRNP40	9410	ENSG00000060688
Up_regulated	1.2	Refined ISG	ISG	ISG	NonISG	HGNC:29520	NM_022913	NP_075064	ENST00000506184	GPBP1	65056	ENSG00000062194
Not_differentially_expressed	0.06	Refined nonISG	NonISG	Other	Other	HGNC:6721	NM_002344	NP_002335	ENST00000263800	LTK	4058	ENSG00000062524
Not_differentially_expressed	0.19	Refined nonISG	NonISG	Other	NonISG	HGNC:4805	NM_005326	NP_005317	ENST00000397356	HAGH	3029	ENSG00000063854
Not_differentially_expressed	0.02	Refined nonISG	Other	Other	Other	HGNC:26020	NM_017814	NP_060284	ENST00000162044	TMEM161A	54929	ENSG00000064545
Up_regulated	1.07	Refined ISG	ISG	ISG	Other	HGNC:25531	NM_001271783	NP_001258712	ENST00000536681	FAR2	55711	ENSG00000064763
Up_regulated	0.69	Refined ISG	ISG	ISG	Other	HGNC:1933	NM_004000	NP_003991	ENST00000369748	CHI3L2	1117	ENSG00000064886
Up_regulated	0.42	Refined ISG	Other	Other	Other	HGNC:29158	NM_014963	NP_055778	ENST00000361757	SBNO2	22904	ENSG00000064932
Up_regulated	1.63	Refined ISG	ISG	ISG	Other	HGNC:2235	NM_001300	NP_001291	ENST00000497571	KLF6	1316	ENSG00000067082
Up_regulated	1.84	Refined ISG	Other	Other	Other	HGNC:14560	NM_004809	NP_004800	ENST00000541638	STOML1	9399	ENSG00000067221
Not_differentially_expressed	-0.25	Refined nonISG	NonISG	NonISG	Other	HGNC:24013	NM_014597	NP_055412	ENST00000436063	DNTTIP2	30836	ENSG00000067334
Up_regulated	0.56	Refined ISG	ISG	Other	NonISG	HGNC:29932	NM_025233	NP_079509	ENST00000393818	COASY	80347	ENSG00000068120
Down_regulated (IRG)	-0.56	Refined nonISG	NonISG	Other	NonISG	HGNC:17264	NM_015425	NP_056240	ENST00000263857	POLR1A	25885	ENSG00000068654
Not_differentially_expressed	-0.03	Refined nonISG	NonISG	Other	Other	HGNC:24351	NM_001286581	NP_001273510	ENST00000264555	PHRF1	57661	ENSG00000070047
Not_differentially_expressed	-0.27	Refined nonISG	NonISG	Other	Other	HGNC:7680	NM_001543	NP_001534	ENST00000261797	NDST1	3340	ENSG00000070614
Up_regulated	2.83	Refined ISG	Other	Other	Other	HGNC:11732	NM_007170	NP_009101	ENST00000372086	TESK2	10420	ENSG00000070759
Up_regulated	2.42	Refined ISG	Other	Other	Other	HGNC:20761	NM_015346	NP_056161	ENST00000347230	ZFYVE26	23503	ENSG00000072121
Not_differentially_expressed	-0.29	Refined nonISG	NonISG	Other	Other	HGNC:6657	NM_001126328	NP_001119800	ENST00000263925	LNX1	84708	ENSG00000072201
Up_regulated	2	Refined ISG	ISG	ISG	NonISG	HGNC:20917	NM_025144	NP_079420	ENST00000650871	ALPK1	80216	ENSG00000073331
Not_differentially_expressed	0.13	Refined nonISG	NonISG	Other	Other	HGNC:20367	NM_023037	NP_075463	ENST00000542859	FRY	10129	ENSG00000073910
Not_differentially_expressed	-0.14	Refined nonISG	NonISG	Other	Other	HGNC:7883	NM_000435	NP_000426	ENST00000263388	NOTCH3	4854	ENSG00000074181
Up_regulated	0.77	Refined ISG	ISG	ISG	NonISG	HGNC:3798	NM_005253	NP_005244	ENST00000264716	FOSL2	2355	ENSG00000075426
Not_differentially_expressed	-0.15	Refined nonISG	Other	Other	Other	HGNC:11151	NM_004596	NP_004587	ENST00000243563	SNRPA	6626	ENSG00000077312
Not_differentially_expressed	-0.13	Refined nonISG	Other	Other	Other	HGNC:14934	NM_016539	NP_057623	ENST00000337491	SIRT6	51548	ENSG00000077463
Up_regulated	0.78	Refined ISG	ISG	NonISG	Other	HGNC:471	NM_001635	NP_001626	ENST00000356264	AMPH	273	ENSG00000078053
Up_regulated	2.14	Refined ISG	ISG	ISG	Other	HGNC:3176	NM_001955	NP_001946	ENST00000379375	EDN1	1906	ENSG00000078401
Up_regulated	0.61	Refined ISG	Other	Other	Other	HGNC:10941	NM_004172	NP_004163	ENST00000265113	SLC1A3	6507	ENSG00000079215
Up_regulated	4.3	Refined ISG	ISG	ISG	Other	HGNC:1814	NM_001712	NP_001703	ENST00000161559	CEACAM1	634	ENSG00000079385
Not_differentially_expressed	0.27	Refined nonISG	NonISG	ISG	Other	HGNC:1719	NM_033331	NP_201588	ENST00000375241	CDC14B	8555	ENSG00000081377
Up_regulated	4.26	Refined ISG	ISG	ISG	Other	HGNC:4036	NM_001465	NP_001456	ENST00000512982	FYB1	2533	ENSG00000082074
Up_regulated	0.71	Refined ISG	ISG	Other	NonISG	HGNC:6984	NM_002396	NP_002387	ENST00000321341	ME2	4200	ENSG00000082212
Not_differentially_expressed	0.03	Refined nonISG	NonISG	Other	NonISG	HGNC:28473	NM_032313	NP_115689	ENST00000264230	NOA1	84273	ENSG00000084092
Down_regulated (IRG)	-0.6	Refined nonISG	NonISG	Other	NonISG	HGNC:1424	NM_004341	NP_004332	ENST00000264705	CAD	790	ENSG00000084774
Not_differentially_expressed	-0.06	Refined nonISG	NonISG	NonISG	Other	HGNC:21033	NM_020771	NP_065822	ENST00000262903	HACE1	57531	ENSG00000085382
Not_differentially_expressed	0.03	Refined nonISG	NonISG	Other	Other	HGNC:19035	NM_015112	NP_055927	ENST00000361297	MAST2	23139	ENSG00000086015
Up_regulated	1.66	Refined ISG	ISG	ISG	Other	HGNC:5229	NM_001539	NP_001530	ENST00000330899	DNAJA1	3301	ENSG00000086061
Not_differentially_expressed	0.14	Refined nonISG	NonISG	Other	Other	HGNC:14484	NM_006428	NP_006419	ENST00000199706	MRPL28	10573	ENSG00000086504
Not_differentially_expressed	0.1	Refined nonISG	NonISG	ISG	Other	HGNC:7166	NM_004530	NP_004521	ENST00000219070	MMP2	4313	ENSG00000087245
Not_differentially_expressed	-0.24	Refined nonISG	NonISG	Other	Other	HGNC:29252	NM_020782	NP_065833	ENST00000381271	KLHL42	57542	ENSG00000087448
Not_differentially_expressed	0.02	Refined nonISG	NonISG	ISG	Other	HGNC:9607	NM_198965	NP_945316	ENST00000545234	PTHLH	5744	ENSG00000087494
Not_differentially_expressed	0.14	Refined nonISG	Other	Other	Other	HGNC:1249	NM_012112	NP_036244	ENST00000300403	TPX2	22974	ENSG00000088325
Not_differentially_expressed	0	Refined nonISG	NonISG	Other	NonISG	HGNC:16119	NM_030815	NP_110442	ENST00000202017	PDRG1	81572	ENSG00000088356
Not_differentially_expressed	0.01	Refined nonISG	NonISG	Other	Other	HGNC:3378	NM_012156	NP_036288	ENST00000338074	EPB41L1	2036	ENSG00000088367
Down_regulated (IRG)	-0.83	Refined nonISG	NonISG	NonISG	Other	HGNC:14950	NM_015316	NP_056131	ENST00000202556	PPP1R13B	23368	ENSG00000088808
Not_differentially_expressed	-0.26	Refined nonISG	Other	Other	Other	HGNC:16017	NM_024325	NP_077301	ENST00000278772	ZNF343	79175	ENSG00000088876
Not_differentially_expressed	-0.04	Refined nonISG	Other	Other	Other	HGNC:15876	NM_001009923	NP_001009923	ENST00000342308	TMEM230	29058	ENSG00000089063
Up_regulated	7.93	Refined ISG	ISG	ISG	ISG	HGNC:8086	NM_016816	NP_058132	ENST00000202917	OAS1	4938	ENSG00000089127
Not_differentially_expressed	-0.23	Refined nonISG	NonISG	Other	Other	HGNC:593	NM_001168	NP_001159	ENST00000350051	BIRC5	332	ENSG00000089685
Down_regulated (IRG)	-1.06	Refined nonISG	Other	Other	Other	HGNC:11745	NM_003223	NP_003214	ENST00000204517	TFAP4	7023	ENSG00000090447
Up_regulated	1.12	Refined ISG	ISG	ISG	Other	HGNC:16031	NM_017999	NP_060469	ENST00000324103	RNF31	55072	ENSG00000092098
Up_regulated	1.32	Refined ISG	Other	Other	Other	HGNC:11824	NM_001099274	NP_001092744	ENST00000267415	TINF2	26277	ENSG00000092330
Down_regulated (IRG)	-0.5	Refined nonISG	NonISG	Other	Other	HGNC:3262	NM_012199	NP_036331	ENST00000373204	AGO1	26523	ENSG00000092847
Not_differentially_expressed	-0.53	Refined nonISG	NonISG	Other	Other	HGNC:6848	NM_005921	NP_005912	ENST00000399503	MAP3K1	4214	ENSG00000095015
Down_regulated (IRG)	-0.97	Refined nonISG	NonISG	ISG	Other	HGNC:5966	NM_000641	NP_000632	ENST00000264563	IL11	3589	ENSG00000095752
Not_differentially_expressed	-0.03	Refined nonISG	NonISG	NonISG	NonISG	HGNC:8042	NM_012225	NP_036357	ENST00000262302	NUBP2	10101	ENSG00000095906
Up_regulated	0.58	Refined ISG	ISG	ISG	NonISG	HGNC:4920	NM_002114	NP_002105	ENST00000379388	HIVEP1	3096	ENSG00000095951
Not_differentially_expressed	-0.24	Refined nonISG	NonISG	NonISG	Other	HGNC:16406	NM_018100	NP_060570	ENST00000371068	EFHC1	114327	ENSG00000096093
Up_regulated	0.58	Refined ISG	ISG	ISG	Other	HGNC:3052	NM_004415	NP_004406	ENST00000379802	DSP	1832	ENSG00000096696
Up_regulated	1.08	Refined ISG	Other	Other	Other	HGNC:10833	NM_016009	NP_057093	ENST00000370558	SH3GLB1	51100	ENSG00000097033
Not_differentially_expressed	-0.3	Refined nonISG	Other	Other	Other	HGNC:29010	NM_014712	NP_055527	ENST00000262519	SETD1A	9739	ENSG00000099381
Not_differentially_expressed	0.23	Refined nonISG	NonISG	Other	Other	HGNC:7702	NM_004146	NP_004137	ENST00000215565	NDUFB7	4713	ENSG00000099795
Up_regulated	1.04	Refined ISG	ISG	ISG	Other	HGNC:4096	NM_015675	NP_056490	ENST00000215631	GADD45B	4616	ENSG00000099860
Not_differentially_expressed	-0.18	Refined nonISG	Other	Other	Other	HGNC:11160	NM_004175	NP_004166	ENST00000215829	SNRPD3	6634	ENSG00000100028
Not_differentially_expressed	-0.32	Refined nonISG	NonISG	Other	Other	HGNC:25185	NM_138797	NP_620152	ENST00000215941	ANKRD54	129138	ENSG00000100124
Not_differentially_expressed	-0.14	Refined nonISG	NonISG	Other	Other	HGNC:18138	NM_016091	NP_057175	ENST00000652021	EIF3L	51386	ENSG00000100129
Up_regulated	0.62	Refined ISG	ISG	ISG	NonISG	HGNC:26185	NM_024821	NP_079097	ENST00000255784	CCDC134	79879	ENSG00000100147
Up_regulated	0.43	Refined ISG	ISG	Other	NonISG	HGNC:13586	NM_012179	NP_036311	ENST00000266087	FBXO7	25793	ENSG00000100225
Up_regulated	2.35	Refined ISG	ISG	ISG	Other	HGNC:4669	NM_004286	NP_004277	ENST00000216044	GTPBP1	9567	ENSG00000100226
Not_differentially_expressed	0.1	Refined nonISG	Other	Other	Other	HGNC:10542	NM_002972	NP_002963	ENST00000380817	SBF1	6305	ENSG00000100241
Not_differentially_expressed	-0.26	Refined nonISG	Other	Other	Other	HGNC:11982	NM_005488	NP_005479	ENST00000449058	TOM1	10043	ENSG00000100284
Up_regulated	4.36	Refined ISG	ISG	ISG	Other	HGNC:1396	NM_021096	NP_066919	ENST00000402142	CACNA1I	8911	ENSG00000100346
Not_differentially_expressed	-0.09	Refined nonISG	Other	Other	Other	HGNC:24276	NM_015380	NP_056195	ENST00000350028	SAMM50	25813	ENSG00000100347
Not_differentially_expressed	0.09	Refined nonISG	NonISG	Other	Other	HGNC:118	NM_001098	NP_001089	ENST00000216254	ACO2	50	ENSG00000100412
Up_regulated	0.45	Refined ISG	ISG	ISG	NonISG	HGNC:24577	NM_015704	NP_056519	ENST00000263256	DESI1	27351	ENSG00000100418
Up_regulated	1.44	Refined ISG	ISG	ISG	Other	HGNC:9472	NM_005606	NP_005597	ENST00000334869	LGMN	5641	ENSG00000100600
Not_differentially_expressed	-0.01	Refined nonISG	Other	Other	Other	HGNC:29099	NM_016111	NP_057195	ENST00000262319	TELO2	9894	ENSG00000100726
Up_regulated	0.85	Refined ISG	ISG	ISG	Other	HGNC:19740	NM_014982	NP_055797	ENST00000304743	PCNX1	22990	ENSG00000100731
Up_regulated	0.75	Refined ISG	ISG	ISG	Other	HGNC:1029	NM_000710	NP_000701	ENST00000216629	BDKRB1	623	ENSG00000100739
Not_differentially_expressed	-0.28	Refined nonISG	Other	Other	Other	HGNC:12718	NM_003384	NP_003375	ENST00000216639	VRK1	7443	ENSG00000100749
Up_regulated	2.01	Refined ISG	ISG	ISG	Other	HGNC:10434	NM_004755	NP_004746	ENST00000614987	RPS6KA5	9252	ENSG00000100784
Not_differentially_expressed	-0.1	Refined nonISG	NonISG	NonISG	Other	HGNC:9542	NM_002797	NP_002788	ENST00000361611	PSMB5	5693	ENSG00000100804
Up_regulated	1.79	Refined ISG	ISG	ISG	Other	HGNC:9569	NM_002818	NP_002809	ENST00000216802	PSME2	5721	ENSG00000100911
Not_differentially_expressed	-0.38	Refined nonISG	NonISG	Other	NonISG	HGNC:9162	NM_002687	NP_002678	ENST00000216832	PNN	5411	ENSG00000100941
Up_regulated	0.63	Refined ISG	ISG	ISG	Other	HGNC:9452	NM_006404	NP_006395	ENST00000216968	PROCR	10544	ENSG00000101000
Up_regulated	1.54	Refined ISG	ISG	ISG	Other	HGNC:11919	NM_001250	NP_001241	ENST00000372285	CD40	958	ENSG00000101017
Not_differentially_expressed	-0.07	Refined nonISG	NonISG	Other	Other	HGNC:15901	NM_016004	NP_057088	ENST00000373030	IFT52	51098	ENSG00000101052
Not_differentially_expressed	0	Refined nonISG	NonISG	NonISG	NonISG	HGNC:14462	NM_032013	NP_114402	ENST00000349004	NDRG3	57446	ENSG00000101079
Not_differentially_expressed	0.06	Refined nonISG	Other	Other	Other	HGNC:14352	NM_001347217	NP_001334146	ENST00000376729	WDR13	64743	ENSG00000101940
Up_regulated	0.81	Refined ISG	ISG	ISG	Other	HGNC:61	NM_000033	NP_000024	ENST00000218104	ABCD1	215	ENSG00000101986
Not_differentially_expressed	0.1	Refined nonISG	NonISG	Other	NonISG	HGNC:28909	NM_014008	NP_054727	ENST00000376227	CCDC22	28952	ENSG00000101997
Not_differentially_expressed	-0.01	Refined nonISG	NonISG	Other	Other	HGNC:18704	NM_003491	NP_003482	ENST00000464845	NAA10	8260	ENSG00000102030
Down_regulated (IRG)	-0.56	Refined nonISG	Other	Other	Other	HGNC:12505	NM_014235	NP_055050	ENST00000369660	UBL4A	8266	ENSG00000102178
Up_regulated	0.66	Refined ISG	ISG	Other	NonISG	HGNC:10274	NM_006915	NP_008846	ENST00000218340	RP2	6102	ENSG00000102218
Not_differentially_expressed	-0.34	Refined nonISG	NonISG	NonISG	Other	HGNC:3663	NM_004463	NP_004454	ENST00000375135	FGD1	2245	ENSG00000102302
Up_regulated	1.34	Refined ISG	ISG	Other	Other	HGNC:271	NM_006437	NP_006428	ENST00000381989	PARP4	143	ENSG00000102699
Up_regulated	1.07	Refined ISG	Other	Other	Other	HGNC:12030	NM_003789	NP_003780	ENST00000345057	TRADD	8717	ENSG00000102871
Not_differentially_expressed	0.02	Refined nonISG	NonISG	Other	Other	HGNC:25787	NM_025082	NP_079358	ENST00000562787	CENPT	80152	ENSG00000102901
Up_regulated	1.77	Refined ISG	ISG	ISG	Other	HGNC:29850	NM_153029	NP_694574	ENST00000262384	N4BP1	9683	ENSG00000102921
Not_differentially_expressed	0.13	Refined nonISG	NonISG	Other	Other	HGNC:25070	NM_001082486	NP_001075955	ENST00000620761	ACD	65057	ENSG00000102977
Down_regulated (IRG)	-0.4	Refined nonISG	Other	Other	Other	HGNC:25706	NM_030581	NP_085058	ENST00000262144	WDR59	79726	ENSG00000103091
Not_differentially_expressed	0	Refined nonISG	Other	Other	Other	HGNC:11427	NM_005861	NP_005852	ENST00000219548	STUB1	10273	ENSG00000103266
Down_regulated (IRG)	-0.65	Refined nonISG	NonISG	NonISG	Other	HGNC:29168	NM_015272	NP_056087	ENST00000647211	RPGRIP1L	23322	ENSG00000103494
Not_differentially_expressed	-0.11	Refined nonISG	NonISG	Other	Other	HGNC:17933	NM_032188	NP_115564	ENST00000219797	KAT8	84148	ENSG00000103510
Down_regulated (IRG)	-1.33	Refined nonISG	NonISG	Other	NonISG	HGNC:30289	NM_016563	NP_057647	ENST00000220062	RASL12	51285	ENSG00000103710
Up_regulated	2.32	Refined ISG	ISG	Other	Other	HGNC:3245	NM_139265	NP_644670	ENST00000220325	EHD4	30844	ENSG00000103966
Up_regulated	0.83	Refined ISG	ISG	ISG	Other	HGNC:10020	NM_003821	NP_003812	ENST00000220751	RIPK2	8767	ENSG00000104312
Down_regulated (IRG)	-0.45	Refined nonISG	NonISG	Other	Other	HGNC:30129	NM_001145860	NP_001139332	ENST00000401707	POP1	10940	ENSG00000104356
Up_regulated	1.01	Refined ISG	Other	Other	Other	HGNC:11406	NM_006281	NP_006272	ENST00000419617	STK3	6788	ENSG00000104375
Up_regulated	2.34	Refined ISG	ISG	ISG	Other	HGNC:6023	NM_000880	NP_000871	ENST00000263851	IL7	3574	ENSG00000104432
Not_differentially_expressed	-0.43	Refined nonISG	NonISG	NonISG	Other	HGNC:25846	NM_023078	NP_075566	ENST00000495276	PYCR3	65263	ENSG00000104524
Not_differentially_expressed	0.02	Refined nonISG	NonISG	ISG	Other	HGNC:6826	NM_000528	NP_000519	ENST00000456935	MAN2B1	4125	ENSG00000104774
Not_differentially_expressed	0.01	Refined nonISG	NonISG	ISG	Other	HGNC:18838	NM_006663	NP_006654	ENST00000360957	PPP1R13L	10848	ENSG00000104881
Not_differentially_expressed	-0.06	Refined nonISG	NonISG	Other	Other	HGNC:20208	NM_080662	NP_542393	ENST00000221480	PEX11G	92960	ENSG00000104883
Up_regulated	3.28	Refined ISG	ISG	ISG	Other	HGNC:19094	NM_152899	NP_690863	ENST00000391826	IL4I1	259307	ENSG00000104951
Not_differentially_expressed	-0.22	Refined nonISG	Other	Other	Other	HGNC:17316	NM_006351	NP_006342	ENST00000270538	TIMM44	10469	ENSG00000104980
Not_differentially_expressed	-0.01	Refined nonISG	NonISG	Other	Other	HGNC:29195	NM_014931	NP_055746	ENST00000412770	PPP6R1	22870	ENSG00000105063
Not_differentially_expressed	0.09	Refined nonISG	NonISG	NonISG	NonISG	HGNC:8764	NM_004708	NP_004699	ENST00000590247	PDCD5	9141	ENSG00000105185
Not_differentially_expressed	-0.17	Refined nonISG	Other	Other	Other	HGNC:23656	NM_001001563	NP_001001563	ENST00000607714	TIMM50	92609	ENSG00000105197
Up_regulated	1.09	Refined ISG	ISG	ISG	Other	HGNC:7641	NM_003827	NP_003818	ENST00000263354	NAPA	8775	ENSG00000105402
Not_differentially_expressed	0.01	Refined nonISG	NonISG	Other	NonISG	HGNC:1487	NM_004058	NP_004049	ENST00000588776	CAPS	828	ENSG00000105519
Up_regulated	3.38	Refined ISG	ISG	ISG	Other	HGNC:14339	NM_020904	NP_065955	ENST00000263265	PLEKHA4	57664	ENSG00000105559
Not_differentially_expressed	-0.13	Refined nonISG	NonISG	Other	Other	HGNC:4189	NM_000159	NP_000150	ENST00000222214	GCDH	2639	ENSG00000105607
Not_differentially_expressed	0.12	Refined nonISG	NonISG	Other	Other	HGNC:30825	NM_145296	NP_660339	ENST00000222374	CADM4	199731	ENSG00000105767
Not_differentially_expressed	0.01	Refined nonISG	Other	Other	Other	HGNC:25763	NM_019108	NP_061981	ENST00000270066	SMG9	56006	ENSG00000105771
Up_regulated	0.45	Refined ISG	ISG	ISG	NonISG	HGNC:14562	NM_005868	NP_005859	ENST00000222547	BET1	10282	ENSG00000105829
Up_regulated	0.94	Refined ISG	ISG	ISG	Other	HGNC:30092	NM_005746	NP_005737	ENST00000222553	NAMPT	10135	ENSG00000105835
Not_differentially_expressed	-0.15	Refined nonISG	NonISG	ISG	Other	HGNC:21517	NM_181581	NP_853559	ENST00000265720	DUS4L	11062	ENSG00000105865
Up_regulated	1.22	Refined ISG	ISG	Other	Other	HGNC:9630	NM_002825	NP_002816	ENST00000348225	PTN	5764	ENSG00000105894
Up_regulated	2.26	Refined ISG	ISG	ISG	Other	HGNC:16390	NM_006092	NP_006083	ENST00000222823	NOD1	10392	ENSG00000106100
Not_differentially_expressed	0.15	Refined nonISG	Other	Other	Other	HGNC:21688	NM_006349	NP_006340	ENST00000305105	ZNHIT1	10467	ENSG00000106400
Not_differentially_expressed	0.18	Refined nonISG	NonISG	NonISG	Other	HGNC:7014	NM_005924	NP_005915	ENST00000262041	MEOX2	4223	ENSG00000106511
Up_regulated	4.13	Refined ISG	ISG	ISG	Other	HGNC:21789	NM_015660	NP_056475	ENST00000223293	GIMAP2	26157	ENSG00000106560
Up_regulated	1.32	Refined ISG	ISG	ISG	Other	HGNC:9531	NM_002787	NP_002778	ENST00000223321	PSMA2	5683	ENSG00000106588
Up_regulated	0.88	Refined ISG	ISG	ISG	Other	HGNC:14035	NM_031903	NP_114109	ENST00000223324	MRPL32	64983	ENSG00000106591
Up_regulated	0.72	Refined ISG	ISG	ISG	NonISG	HGNC:1062	NM_000712	NP_000703	ENST00000265523	BLVRA	644	ENSG00000106605
Up_regulated	0.5	Refined ISG	ISG	Other	Other	HGNC:9386	NM_016203	NP_057287	ENST00000287878	PRKAG2	51422	ENSG00000106617
Not_differentially_expressed	-0.32	Refined nonISG	NonISG	ISG	Other	HGNC:3234	NM_001080497	NP_001073966	ENST00000373930	MEGF9	1955	ENSG00000106780
Up_regulated	4.37	Refined ISG	Other	Other	Other	HGNC:16283	NM_014788	NP_055603	ENST00000341469	TRIM14	9830	ENSG00000106785
