Description from OCISG 	Log2(Fold Change) from OCISG 	Type I IFN in human fibroblast cells(Main Label)	Type I IFN systems	Type II IFN systems	Type III IFN systems	HGNC ID	RefSeqAcc	RefSeq	Canonical transcript	Approved symbol	NCBI gene ID	Ensembl gene ID
Up_regulated	0.71	Refined ISG	ISG	ISG	NonISG	HGNC:4312	NM_002061	NP_002052	ENST00000370238	GCLM	2730	ENSG00000023909
Not_differentially_expressed	-0.52	Refined nonISG	NonISG	ISG	Other	HGNC:22949	NM_001114120	NP_001107592	ENST00000456315	DEPDC1	55635	ENSG00000024526
Down_regulated (IRG)	-0.59	Refined nonISG	NonISG	Other	NonISG	HGNC:5225	NM_004506	NP_004497	ENST00000368455	HSF2	3298	ENSG00000025156
Up_regulated	1.18	Refined ISG	ISG	ISG	Other	HGNC:11920	NM_000043	NP_000034	ENST00000652046	FAS	355	ENSG00000026103
Up_regulated	2.01	Refined ISG	ISG	ISG	NonISG	HGNC:1138	NM_007048	NP_008979	ENST00000289361	BTN3A1	11119	ENSG00000026950
Not_differentially_expressed	-0.28	Refined nonISG	NonISG	NonISG	Other	HGNC:5004	NM_005342	NP_005333	ENST00000325307	HMGB3	3149	ENSG00000029993
Up_regulated	1.13	Refined ISG	ISG	ISG	Other	HGNC:949	NM_001188	NP_001179	ENST00000374467	BAK1	578	ENSG00000030110
Up_regulated	1.08	Refined ISG	Other	Other	Other	HGNC:25581	NM_018227	NP_060697	ENST00000322244	UBA6	55236	ENSG00000033178
Up_regulated	1.05	Refined ISG	ISG	ISG	Other	HGNC:13432	NM_183419	NP_904355	ENST00000341084	RNF19A	25897	ENSG00000034677
Not_differentially_expressed	-0.17	Refined nonISG	NonISG	NonISG	NonISG	HGNC:25911	NM_001329752	NP_001316681	ENST00000430566	FAM136A	84908	ENSG00000035141
Not_differentially_expressed	0.05	Refined nonISG	NonISG	NonISG	Other	HGNC:28469	NM_001031727	NP_001026897	ENST00000040663	MRI1	84245	ENSG00000037757
Up_regulated	2.34	Refined ISG	ISG	ISG	Other	HGNC:18215	NM_018323	NP_060793	ENST00000264864	PI4K2B	55300	ENSG00000038210
Down_regulated (IRG)	-0.42	Refined nonISG	NonISG	Other	Other	HGNC:25836	NM_024519	NP_078795	ENST00000042381	RIPOR1	79567	ENSG00000039523
Up_regulated	1.44	Refined ISG	ISG	ISG	Other	HGNC:9767	NM_004163	NP_004154	ENST00000262094	RAB27B	5874	ENSG00000041353
Up_regulated	1.01	Refined ISG	ISG	ISG	Other	HGNC:9533	NM_002789	NP_002780	ENST00000044462	PSMA4	5685	ENSG00000041357
Not_differentially_expressed	-0.03	Refined nonISG	Other	Other	Other	HGNC:12017	NM_003292	NP_003283	ENST00000367478	TPR	7175	ENSG00000047410
Not_differentially_expressed	0.03	Refined nonISG	NonISG	Other	Other	HGNC:24308	NM_030782	NP_110409	ENST00000320895	CLPTM1L	81037	ENSG00000049656
Not_differentially_expressed	0.1	Refined nonISG	NonISG	Other	Other	HGNC:14944	NM_033215	NP_149992	ENST00000055335	PPP1R3F	89801	ENSG00000049769
Up_regulated	1.55	Refined ISG	ISG	ISG	Other	HGNC:7783	NM_004289	NP_004280	ENST00000056233	NFE2L3	9603	ENSG00000050344
Not_differentially_expressed	0.08	Refined nonISG	Other	Other	Other	HGNC:19942	NM_014408	NP_055223	ENST00000373166	TRAPPC3	27095	ENSG00000054116
Up_regulated	1.32	Refined ISG	ISG	ISG	NonISG	HGNC:17733	NM_020715	NP_065766	ENST00000329153	PLEKHH1	57475	ENSG00000054690
Not_differentially_expressed	0.03	Refined nonISG	NonISG	Other	Other	HGNC:13540	NM_006045	NP_006036	ENST00000338821	ATP9A	10079	ENSG00000054793
Down_regulated (IRG)	-0.9	Refined nonISG	NonISG	Other	Other	HGNC:13764	NM_152222	NP_689408	ENST00000064780	RELT	84957	ENSG00000054967
Not_differentially_expressed	-0.11	Refined nonISG	NonISG	ISG	Other	HGNC:13760	NM_001037333	NP_001032410	ENST00000620254	CYFIP2	26999	ENSG00000055163
Up_regulated	2.99	Refined ISG	ISG	ISG	ISG	HGNC:9437	NM_001135651	NP_001129123	ENST00000233057	EIF2AK2	5610	ENSG00000055332
Up_regulated	1.51	Refined ISG	ISG	ISG	Other	HGNC:2853	NM_001346	NP_001337	ENST00000265022	DGKG	1608	ENSG00000058866
Up_regulated	0.41	Refined ISG	ISG	Other	Other	HGNC:8750	NM_002595	NP_002586	ENST00000261211	CDK17	5128	ENSG00000059758
Up_regulated	2.67	Refined ISG	ISG	ISG	Other	HGNC:15768	NM_007346	NP_031372	ENST00000290291	OGFR	11054	ENSG00000060491
Down_regulated (IRG)	-0.46	Refined nonISG	Other	Other	Other	HGNC:30857	NM_004814	NP_004805	ENST00000263694	SNRNP40	9410	ENSG00000060688
Up_regulated	1.2	Refined ISG	ISG	ISG	NonISG	HGNC:29520	NM_022913	NP_075064	ENST00000506184	GPBP1	65056	ENSG00000062194
Not_differentially_expressed	-0.07	Refined nonISG	NonISG	Other	Other	HGNC:16940	NM_032564	NP_115953	ENST00000228027	DGAT2	84649	ENSG00000062282
Not_differentially_expressed	0.06	Refined nonISG	NonISG	Other	Other	HGNC:6721	NM_002344	NP_002335	ENST00000263800	LTK	4058	ENSG00000062524
Up_regulated	1.81	Refined ISG	ISG	ISG	Other	HGNC:17233	NM_133171	NP_573403	ENST00000290246	ELMO2	63916	ENSG00000062598
Not_differentially_expressed	0.08	Refined nonISG	NonISG	Other	Other	HGNC:10310	NM_000979	NP_000970	ENST00000549920	RPL18	6141	ENSG00000063177
Not_differentially_expressed	-0.19	Refined nonISG	NonISG	Other	Other	HGNC:19038	NM_020421	NP_065154	ENST00000238561	ADCK1	57143	ENSG00000063761
Not_differentially_expressed	0.19	Refined nonISG	NonISG	Other	NonISG	HGNC:4805	NM_005326	NP_005317	ENST00000397356	HAGH	3029	ENSG00000063854
Not_differentially_expressed	0.02	Refined nonISG	Other	Other	Other	HGNC:26020	NM_017814	NP_060284	ENST00000162044	TMEM161A	54929	ENSG00000064545
Down_regulated (IRG)	-0.72	Refined nonISG	Other	Other	Other	HGNC:10911	NM_001046	NP_001037	ENST00000262461	SLC12A2	6558	ENSG00000064651
Up_regulated	1.07	Refined ISG	ISG	ISG	Other	HGNC:25531	NM_001271783	NP_001258712	ENST00000536681	FAR2	55711	ENSG00000064763
Up_regulated	0.69	Refined ISG	ISG	ISG	Other	HGNC:1933	NM_004000	NP_003991	ENST00000369748	CHI3L2	1117	ENSG00000064886
Up_regulated	0.42	Refined ISG	Other	Other	Other	HGNC:29158	NM_014963	NP_055778	ENST00000361757	SBNO2	22904	ENSG00000064932
Not_differentially_expressed	-0.31	Refined nonISG	Other	Other	Other	HGNC:11838	NM_003260	NP_003251	ENST00000262953	TLE2	7089	ENSG00000065717
Down_regulated (IRG)	-0.62	Refined nonISG	NonISG	ISG	NonISG	HGNC:16011	NM_001040445	NP_001035535	ENST00000264607	ASB1	51665	ENSG00000065802
Up_regulated	0.7	Refined ISG	Other	Other	Other	HGNC:11578	NM_015173	NP_055988	ENST00000261439	TBC1D1	23216	ENSG00000065882
Up_regulated	2.43	Refined ISG	Other	Other	Other	HGNC:11206	NM_001080391	NP_001073860	ENST00000340126	SP100	6672	ENSG00000067066
Up_regulated	1.63	Refined ISG	ISG	ISG	Other	HGNC:2235	NM_001300	NP_001291	ENST00000497571	KLF6	1316	ENSG00000067082
Not_differentially_expressed	0.26	Refined nonISG	NonISG	Other	Other	HGNC:7754	NM_002499	NP_002490	ENST00000261908	NEO1	4756	ENSG00000067141
Up_regulated	1.84	Refined ISG	Other	Other	Other	HGNC:14560	NM_004809	NP_004800	ENST00000541638	STOML1	9399	ENSG00000067221
Not_differentially_expressed	-0.25	Refined nonISG	NonISG	NonISG	Other	HGNC:24013	NM_014597	NP_055412	ENST00000436063	DNTTIP2	30836	ENSG00000067334
Not_differentially_expressed	-0.02	Refined nonISG	NonISG	ISG	Other	HGNC:15998	NM_001024383	NP_001019554	ENST00000397909	NAV3	89795	ENSG00000067798
Not_differentially_expressed	0.16	Refined nonISG	NonISG	Other	Other	HGNC:5386	NM_004135	NP_004126	ENST00000217901	IDH3G	3421	ENSG00000067829
Up_regulated	0.56	Refined ISG	ISG	Other	NonISG	HGNC:29932	NM_025233	NP_079509	ENST00000393818	COASY	80347	ENSG00000068120
Down_regulated (IRG)	-0.56	Refined nonISG	NonISG	Other	NonISG	HGNC:17264	NM_015425	NP_056240	ENST00000263857	POLR1A	25885	ENSG00000068654
Not_differentially_expressed	-0.03	Refined nonISG	NonISG	Other	Other	HGNC:24351	NM_001286581	NP_001273510	ENST00000264555	PHRF1	57661	ENSG00000070047
Not_differentially_expressed	-0.27	Refined nonISG	NonISG	Other	Other	HGNC:7680	NM_001543	NP_001534	ENST00000261797	NDST1	3340	ENSG00000070614
Up_regulated	2.83	Refined ISG	Other	Other	Other	HGNC:11732	NM_007170	NP_009101	ENST00000372086	TESK2	10420	ENSG00000070759
Not_differentially_expressed	-0.07	Refined nonISG	NonISG	Other	Other	HGNC:2324	NM_013291	NP_037423	ENST00000616140	CPSF1	29894	ENSG00000071894
Up_regulated	2.42	Refined ISG	Other	Other	Other	HGNC:20761	NM_015346	NP_056161	ENST00000347230	ZFYVE26	23503	ENSG00000072121
Not_differentially_expressed	-0.29	Refined nonISG	NonISG	Other	Other	HGNC:6657	NM_001126328	NP_001119800	ENST00000263925	LNX1	84708	ENSG00000072201
Up_regulated	2	Refined ISG	ISG	ISG	NonISG	HGNC:20917	NM_025144	NP_079420	ENST00000650871	ALPK1	80216	ENSG00000073331
Not_differentially_expressed	0.13	Refined nonISG	NonISG	Other	Other	HGNC:20367	NM_023037	NP_075463	ENST00000542859	FRY	10129	ENSG00000073910
Not_differentially_expressed	-0.14	Refined nonISG	NonISG	Other	Other	HGNC:7883	NM_000435	NP_000426	ENST00000263388	NOTCH3	4854	ENSG00000074181
Not_differentially_expressed	0.12	Refined nonISG	NonISG	Other	NonISG	HGNC:13658	NM_021229	NP_067052	ENST00000343702	NTN4	59277	ENSG00000074527
Up_regulated	1.07	Refined ISG	Other	Other	Other	HGNC:30750	NM_017858	NP_060328	ENST00000261881	TIPIN	54962	ENSG00000075131
Not_differentially_expressed	0.04	Refined nonISG	NonISG	Other	Other	HGNC:13698	NM_016426	NP_057510	ENST00000454366	GTSE1	51512	ENSG00000075218
Up_regulated	0.77	Refined ISG	ISG	ISG	NonISG	HGNC:3798	NM_005253	NP_005244	ENST00000264716	FOSL2	2355	ENSG00000075426
Up_regulated	0.86	Refined ISG	ISG	ISG	Other	HGNC:18234	NM_017947	NP_060417	ENST00000261326	MOCOS	55034	ENSG00000075643
Down_regulated (IRG)	-0.67	Refined nonISG	Other	Other	Other	HGNC:24502	NM_001083961	NP_001077430	ENST00000401500	WDR62	284403	ENSG00000075702
Not_differentially_expressed	-0.27	Refined nonISG	NonISG	Other	Other	HGNC:6949	NM_005915	NP_005906	ENST00000264156	MCM6	4175	ENSG00000076003
Up_regulated	2.28	Refined ISG	ISG	Other	Other	HGNC:9909	NM_002898	NP_002889	ENST00000262031	RBMS2	5939	ENSG00000076067
Down_regulated (IRG)	-0.53	Refined nonISG	Other	Other	Other	HGNC:30521	NM_080669	NP_542400	ENST00000612814	SLC46A1	113235	ENSG00000076351
Up_regulated	0.96	Refined ISG	ISG	Other	NonISG	HGNC:9100	NM_025179	NP_079455	ENST00000367033	PLXNA2	5362	ENSG00000076356
Not_differentially_expressed	-0.29	Refined nonISG	Other	Other	Other	HGNC:13452	NM_006461	NP_006452	ENST00000321765	SPAG5	10615	ENSG00000076382
Not_differentially_expressed	-0.15	Refined nonISG	Other	Other	Other	HGNC:11151	NM_004596	NP_004587	ENST00000243563	SNRPA	6626	ENSG00000077312
Up_regulated	0.73	Refined ISG	ISG	Other	Other	HGNC:28492	NM_144664	NP_653265	ENST00000358780	FAM76B	143684	ENSG00000077458
Not_differentially_expressed	-0.13	Refined nonISG	Other	Other	Other	HGNC:14934	NM_016539	NP_057623	ENST00000337491	SIRT6	51548	ENSG00000077463
Up_regulated	0.78	Refined ISG	ISG	NonISG	Other	HGNC:471	NM_001635	NP_001626	ENST00000356264	AMPH	273	ENSG00000078053
Up_regulated	2.14	Refined ISG	ISG	ISG	Other	HGNC:3176	NM_001955	NP_001946	ENST00000379375	EDN1	1906	ENSG00000078401
Up_regulated	0.61	Refined ISG	Other	Other	Other	HGNC:10941	NM_004172	NP_004163	ENST00000265113	SLC1A3	6507	ENSG00000079215
Up_regulated	4.3	Refined ISG	ISG	ISG	Other	HGNC:1814	NM_001712	NP_001703	ENST00000161559	CEACAM1	634	ENSG00000079385
Not_differentially_expressed	0.02	Refined nonISG	NonISG	Other	Other	HGNC:8148	NM_002547	NP_002538	ENST00000355520	OPHN1	4983	ENSG00000079482
Up_regulated	0.55	Refined ISG	ISG	ISG	NonISG	HGNC:23207	NM_018151	NP_060621	ENST00000444746	RIF1	55183	ENSG00000080345
Not_differentially_expressed	0.02	Refined nonISG	NonISG	Other	Other	HGNC:14864	NM_015719	NP_056534	ENST00000264828	COL5A3	50509	ENSG00000080573
Not_differentially_expressed	0.02	Refined nonISG	NonISG	Other	NonISG	HGNC:30023	NM_020357	NP_065090	ENST00000265260	PCNP	57092	ENSG00000081154
Not_differentially_expressed	0.27	Refined nonISG	NonISG	ISG	Other	HGNC:1719	NM_033331	NP_201588	ENST00000375241	CDC14B	8555	ENSG00000081377
Up_regulated	0.54	Refined ISG	ISG	ISG	Other	HGNC:16018	NM_017954	NP_060424	ENST00000449022	CADPS2	93664	ENSG00000081803
Up_regulated	4.26	Refined ISG	ISG	ISG	Other	HGNC:4036	NM_001465	NP_001456	ENST00000512982	FYB1	2533	ENSG00000082074
Not_differentially_expressed	-0.17	Refined nonISG	NonISG	Other	Other	HGNC:13680	NM_033066	NP_149055	ENST00000409474	MPP4	58538	ENSG00000082126
Up_regulated	0.71	Refined ISG	ISG	Other	NonISG	HGNC:6984	NM_002396	NP_002387	ENST00000321341	ME2	4200	ENSG00000082212
Down_regulated (IRG)	-0.69	Refined nonISG	NonISG	NonISG	Other	HGNC:20043	NM_015465	NP_056280	ENST00000285873	GEMIN5	25929	ENSG00000082516
Not_differentially_expressed	0.03	Refined nonISG	NonISG	Other	NonISG	HGNC:28473	NM_032313	NP_115689	ENST00000264230	NOA1	84273	ENSG00000084092
Up_regulated	0.93	Refined ISG	ISG	Other	Other	HGNC:25743	NM_024522	NP_078798	ENST00000373736	NKAIN1	79570	ENSG00000084628
Down_regulated (IRG)	-0.6	Refined nonISG	NonISG	Other	NonISG	HGNC:1424	NM_004341	NP_004332	ENST00000264705	CAD	790	ENSG00000084774
Not_differentially_expressed	-0.06	Refined nonISG	NonISG	NonISG	Other	HGNC:21033	NM_020771	NP_065822	ENST00000262903	HACE1	57531	ENSG00000085382
Not_differentially_expressed	0.03	Refined nonISG	NonISG	Other	Other	HGNC:19035	NM_015112	NP_055927	ENST00000361297	MAST2	23139	ENSG00000086015
Up_regulated	1.66	Refined ISG	ISG	ISG	Other	HGNC:5229	NM_001539	NP_001530	ENST00000330899	DNAJA1	3301	ENSG00000086061
Up_regulated	0.65	Refined ISG	ISG	ISG	Other	HGNC:26942	NM_016410	NP_057494	ENST00000223500	CHMP5	51510	ENSG00000086065
Not_differentially_expressed	0.14	Refined nonISG	NonISG	Other	Other	HGNC:14484	NM_006428	NP_006419	ENST00000199706	MRPL28	10573	ENSG00000086504
Not_differentially_expressed	0.1	Refined nonISG	NonISG	ISG	Other	HGNC:7166	NM_004530	NP_004521	ENST00000219070	MMP2	4313	ENSG00000087245
Not_differentially_expressed	-0.24	Refined nonISG	NonISG	Other	Other	HGNC:29252	NM_020782	NP_065833	ENST00000381271	KLHL42	57542	ENSG00000087448
Not_differentially_expressed	0.02	Refined nonISG	NonISG	ISG	Other	HGNC:9607	NM_198965	NP_945316	ENST00000545234	PTHLH	5744	ENSG00000087494
Not_differentially_expressed	0.14	Refined nonISG	Other	Other	Other	HGNC:1249	NM_012112	NP_036244	ENST00000300403	TPX2	22974	ENSG00000088325
Not_differentially_expressed	0	Refined nonISG	NonISG	Other	NonISG	HGNC:16119	NM_030815	NP_110442	ENST00000202017	PDRG1	81572	ENSG00000088356
Not_differentially_expressed	0.01	Refined nonISG	NonISG	Other	Other	HGNC:3378	NM_012156	NP_036288	ENST00000338074	EPB41L1	2036	ENSG00000088367
Down_regulated (IRG)	-0.83	Refined nonISG	NonISG	NonISG	Other	HGNC:14950	NM_015316	NP_056131	ENST00000202556	PPP1R13B	23368	ENSG00000088808
Not_differentially_expressed	-0.26	Refined nonISG	Other	Other	Other	HGNC:16017	NM_024325	NP_077301	ENST00000278772	ZNF343	79175	ENSG00000088876
Up_regulated	2.73	Refined ISG	ISG	ISG	Other	HGNC:8537	NM_002562	NP_002553	ENST00000328963	P2RX7	5027	ENSG00000089041
Not_differentially_expressed	-0.04	Refined nonISG	Other	Other	Other	HGNC:15876	NM_001009923	NP_001009923	ENST00000342308	TMEM230	29058	ENSG00000089063
Up_regulated	7.93	Refined ISG	ISG	ISG	ISG	HGNC:8086	NM_016816	NP_058132	ENST00000202917	OAS1	4938	ENSG00000089127
Not_differentially_expressed	-0.22	Refined nonISG	NonISG	NonISG	Other	HGNC:4199	NM_006836	NP_006827	ENST00000300648	GCN1	10985	ENSG00000089154
Not_differentially_expressed	-0.23	Refined nonISG	NonISG	Other	Other	HGNC:593	NM_001168	NP_001159	ENST00000350051	BIRC5	332	ENSG00000089685
Down_regulated (IRG)	-0.41	Refined nonISG	NonISG	NonISG	NonISG	HGNC:13731	NM_001017405	NP_001017405	ENST00000303400	MAEA	10296	ENSG00000090316
Up_regulated	2.9	Refined ISG	ISG	ISG	Other	HGNC:5344	NM_000201	NP_000192	ENST00000264832	ICAM1	3383	ENSG00000090339
Down_regulated (IRG)	-1.06	Refined nonISG	Other	Other	Other	HGNC:11745	NM_003223	NP_003214	ENST00000204517	TFAP4	7023	ENSG00000090447
Down_regulated (IRG)	-0.45	Refined nonISG	NonISG	Other	Other	HGNC:8557	NM_001135653	NP_001129125	ENST00000372858	PABPC4	8761	ENSG00000090621
Up_regulated	1.28	Refined ISG	Other	Other	Other	HGNC:30939	NM_024721	NP_078997	ENST00000651372	ZFHX4	79776	ENSG00000091656
Up_regulated	0.74	Refined ISG	ISG	ISG	Other	HGNC:9568	NM_006263	NP_006254	ENST00000206451	PSME1	5720	ENSG00000092010
Not_differentially_expressed	-0.27	Refined nonISG	NonISG	Other	NonISG	HGNC:18028	NM_017807	NP_060277	ENST00000206542	OSGEP	55644	ENSG00000092094
Up_regulated	1.12	Refined ISG	ISG	ISG	Other	HGNC:16031	NM_017999	NP_060469	ENST00000324103	RNF31	55072	ENSG00000092098
Up_regulated	1.32	Refined ISG	Other	Other	Other	HGNC:11824	NM_001099274	NP_001092744	ENST00000267415	TINF2	26277	ENSG00000092330
Down_regulated (IRG)	-0.5	Refined nonISG	NonISG	Other	Other	HGNC:3262	NM_012199	NP_036331	ENST00000373204	AGO1	26523	ENSG00000092847
Not_differentially_expressed	-0.53	Refined nonISG	NonISG	Other	Other	HGNC:6848	NM_005921	NP_005912	ENST00000399503	MAP3K1	4214	ENSG00000095015
Not_differentially_expressed	-0.32	Refined nonISG	NonISG	Other	Other	HGNC:17859	NM_015354	NP_056169	ENST00000372577	NUP188	23511	ENSG00000095319
Down_regulated (IRG)	-0.97	Refined nonISG	NonISG	ISG	Other	HGNC:5966	NM_000641	NP_000632	ENST00000264563	IL11	3589	ENSG00000095752
Not_differentially_expressed	-0.03	Refined nonISG	NonISG	NonISG	NonISG	HGNC:8042	NM_012225	NP_036357	ENST00000262302	NUBP2	10101	ENSG00000095906
Up_regulated	0.58	Refined ISG	ISG	ISG	NonISG	HGNC:4920	NM_002114	NP_002105	ENST00000379388	HIVEP1	3096	ENSG00000095951
Not_differentially_expressed	-0.24	Refined nonISG	NonISG	NonISG	Other	HGNC:16406	NM_018100	NP_060570	ENST00000371068	EFHC1	114327	ENSG00000096093
Up_regulated	0.58	Refined ISG	ISG	ISG	Other	HGNC:3052	NM_004415	NP_004406	ENST00000379802	DSP	1832	ENSG00000096696
Up_regulated	1.08	Refined ISG	Other	Other	Other	HGNC:10833	NM_016009	NP_057093	ENST00000370558	SH3GLB1	51100	ENSG00000097033
Not_differentially_expressed	-0.32	Refined nonISG	NonISG	Other	NonISG	HGNC:13108	NM_198055	NP_932172	ENST00000215057	MZF1	7593	ENSG00000099326
Not_differentially_expressed	-0.3	Refined nonISG	Other	Other	Other	HGNC:29010	NM_014712	NP_055527	ENST00000262519	SETD1A	9739	ENSG00000099381
Not_differentially_expressed	0.23	Refined nonISG	NonISG	Other	Other	HGNC:7702	NM_004146	NP_004137	ENST00000215565	NDUFB7	4713	ENSG00000099795
Up_regulated	1.04	Refined ISG	ISG	ISG	Other	HGNC:4096	NM_015675	NP_056490	ENST00000215631	GADD45B	4616	ENSG00000099860
Not_differentially_expressed	-0.38	Refined nonISG	Other	Other	Other	HGNC:24974	NM_022727	NP_073564	ENST00000252136	TRMT2A	27037	ENSG00000099899
Up_regulated	1.6	Refined ISG	ISG	ISG	Other	HGNC:17164	NM_015367	NP_056182	ENST00000317582	BCL2L13	23786	ENSG00000099968
Not_differentially_expressed	-0.14	Refined nonISG	Other	Other	Other	HGNC:10765	NM_005877	NP_005868	ENST00000215793	SF3A1	10291	ENSG00000099995
Not_differentially_expressed	-0.18	Refined nonISG	Other	Other	Other	HGNC:11160	NM_004175	NP_004166	ENST00000215829	SNRPD3	6634	ENSG00000100028
Not_differentially_expressed	-0.32	Refined nonISG	NonISG	Other	Other	HGNC:25185	NM_138797	NP_620152	ENST00000215941	ANKRD54	129138	ENSG00000100124
Not_differentially_expressed	-0.14	Refined nonISG	NonISG	Other	Other	HGNC:18138	NM_016091	NP_057175	ENST00000652021	EIF3L	51386	ENSG00000100129
Up_regulated	0.62	Refined ISG	ISG	ISG	NonISG	HGNC:26185	NM_024821	NP_079097	ENST00000255784	CCDC134	79879	ENSG00000100147
Up_regulated	0.43	Refined ISG	ISG	Other	NonISG	HGNC:13586	NM_012179	NP_036311	ENST00000266087	FBXO7	25793	ENSG00000100225
Up_regulated	2.35	Refined ISG	ISG	ISG	Other	HGNC:4669	NM_004286	NP_004277	ENST00000216044	GTPBP1	9567	ENSG00000100226
Not_differentially_expressed	0.1	Refined nonISG	Other	Other	Other	HGNC:10542	NM_002972	NP_002963	ENST00000380817	SBF1	6305	ENSG00000100241
Not_differentially_expressed	-0.26	Refined nonISG	Other	Other	Other	HGNC:11982	NM_005488	NP_005479	ENST00000449058	TOM1	10043	ENSG00000100284
